"Object Count","Layer Name","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"207","centres","","458abd9f-9575-40ba-9a64-ef552a5e6c43","point","15225.073996,21629.499012,0.000000","","","",""
"208","centres","","45aa896b-eb02-4cae-91c5-251c444e42fd","point","15936.824390,20137.130163,0.000000","","","",""
"209","centres","","467425f3-5a74-4bed-9a23-0d525d40804f","point","16194.205355,20061.080107,0.000000","","","",""
"210","centres","","46875256-d684-46bc-b23b-30eeafdb69d2","point","15844.551719,20842.972483,0.000000","","","",""
"211","centres","","47135a9c-5ce1-44df-b766-a9ec216b6fc7","point","17271.746354,21128.026585,0.000000","","","",""
"212","centres","","481298e8-0729-4875-8d3d-638d86a6c64b","point","18381.842081,21192.314392,0.000000","","","",""
"213","centres","","4854d449-3139-48d3-9d52-bb70c900d6de","point","15521.562983,21060.107735,0.000000","","","",""
"214","centres","","4873b94c-dcd1-41d8-84af-937491a18056","point","16388.738764,19180.401912,0.000000","","","",""
"215","centres","","48aa0fb8-3af2-45c5-a6c0-7931af6176e8","point","17605.640925,21681.936410,0.000000","","","",""
"216","centres","","48e65966-fdd7-400e-af02-2eb592b0d26b","point","18110.818738,20705.057591,0.000000","","","",""
"217","centres","","48ff06c0-46c4-48d5-a215-c7253eb0a548","point","18187.911365,20272.002316,0.000000","","","",""
"218","centres","","490215ac-620d-4f68-a5dc-52a137ed109b","point","17040.068718,19867.997086,0.000000","","","",""
"219","centres","","49b34dd0-f66c-4488-bd55-0ab9a3371a6c","point","16320.835476,21157.838534,0.000000","","","",""
"220","centres","","49e4a7be-48c2-4580-a6d2-644331a8e049","point","18702.475695,20699.573032,0.000000","","","",""
"221","centres","","4a16305e-db16-412a-9bef-9a4334b5bf0f","point","16298.211209,19422.338652,0.000000","","","",""
"222","centres","","4a203835-3613-42cc-9b88-2665b0ec3a89","point","16590.944335,20078.462714,0.000000","","","",""
"223","centres","","4a3f95fb-3b8d-4a4d-abbe-85afe2f91814","point","16203.171275,19782.149749,0.000000","","","",""
"224","centres","","4ab9676d-8dfc-4216-847e-8595331c8221","point","18089.064806,20809.952054,0.000000","","","",""
"225","centres","","4b768241-1a34-4576-8927-718067481784","point","17863.526541,20154.044443,0.000000","","","",""
"226","centres","","4c12ee1f-161f-469b-8f15-46ff664a44a4","point","16101.436579,19176.793739,0.000000","","","",""
